id	label	longitud	latitud	abundance
377	Tinamus major	-84.0128	10.4288	1
378	Tinamus major	-84.0128	10.4288	1
379	Tinamus major	-84.0128	10.4288	1
380	Tinamus major	-84.0128	10.4288	1
381	Tinamus major	-84.0128	10.4288	1
382	Tinamus major	-84.0128	10.4288	1
383	Tinamus major	-84.0128	10.4288	1
384	Tinamus major	-84.0128	10.4288	1
385	Tinamus major	-84.0128	10.4288	1
386	Tinamus major	-84.0128	10.4288	1
387	Tinamus major	-84.0128	10.4288	1
388	Tinamus major	-84.0128	10.4288	1
389	Tinamus major	-84.0128	10.4288	1
390	Tinamus major	-84.0128	10.4288	1
391	Tinamus major	-84.0128	10.4288	1
392	Tinamus major	-84.0128	10.4288	1
393	Tinamus major	-84.0128	10.4288	1
394	Tinamus major	-84.0128	10.4288	1
395	Tinamus major	-84.0128	10.4288	1
396	Tinamus major	-84.0128	10.4288	1
397	Tinamus major	-84.0128	10.4288	1
398	Tinamus major	-84.0128	10.4288	1
399	Tinamus major	-84.0128	10.4288	1
400	Tinamus major	-84.0128	10.4288	1
401	Tinamus major	-84.0128	10.4288	1
402	Tinamus major	-84.0063	10.4308	1
403	Tinamus major	-84.0063	10.4308	1
404	Tinamus major	-84.0063	10.4308	1
405	Tinamus major	-84.0063	10.4308	1
406	Tinamus major	-84.0063	10.4308	1
407	Tinamus major	-84.0063	10.4308	1
408	Tinamus major	-84.0063	10.4308	1
409	Tinamus major	-84.0063	10.4308	1
410	Tinamus major	-84.0063	10.4308	1
411	Tinamus major	-84.0063	10.4308	1
412	Tinamus major	-84.0063	10.4308	1
413	Tinamus major	-84.0063	10.4308	1
414	Tinamus major	-84.0063	10.4308	1
415	Tinamus major	-84.0063	10.4308	1
416	Tinamus major	-84.0063	10.4308	1
417	Tinamus major	-84.0063	10.4308	1
418	Tinamus major	-84.0063	10.4308	1
419	Tinamus major	-84.0063	10.4308	1
420	Tinamus major	-84.0063	10.4308	1
421	Tinamus major	-84.0063	10.4308	1
422	Tinamus major	-84.0063	10.4308	1
423	Tinamus major	-84.0025	10.4311	1
424	Tinamus major	-84.0036	10.4313	1
425	Tinamus major	-84.0022	10.4341	1
426	Tinamus major	-84.7048	10.4353	1
427	Tinamus major	-84.7107	10.4361	1
428	Tinamus major	-84.7107	10.4361	1
429	Tinamus major	-84.0003	10.4375	1
430	Tinamus major	-84.2137	10.4389	1
431	Tinamus major	-84.0688	10.4405	1
432	Tinamus major	-84.0688	10.4405	1
433	Tinamus major	-84.0688	10.4405	1
434	Tinamus major	-84.0677	10.4502	1
435	Tinamus major	-84.0677	10.4502	1
436	Tinamus major	-84.0677	10.4502	1
437	Tinamus major	-84.0677	10.4502	1
438	Tinamus major	-84.0612	10.4522	1
439	Tinamus major	-84.0077	10.4552	1
440	Tinamus major	-84.0933	10.4645	1
441	Tinamus major	-83.504	10.513	1
442	Tinamus major	-83.5103	10.5278	1
443	Tinamus major	-83.5103	10.5278	1
444	Tinamus major	-83.5103	10.5278	1
445	Tinamus major	-83.5103	10.5278	1
446	Tinamus major	-83.5085	10.533	1
447	Tinamus major	-83.5014	10.5373	1
448	Tinamus major	-83.5025	10.5386	1
449	Tinamus major	-83.5025	10.5386	1
450	Tinamus major	-83.5025	10.5386	1
451	Tinamus major	-83.5025	10.5386	1
452	Tinamus major	-83.5025	10.5386	1
453	Tinamus major	-83.5025	10.5386	1
454	Tinamus major	-83.5025	10.5386	1
455	Tinamus major	-83.5025	10.5386	1
456	Tinamus major	-83.5025	10.5386	1
457	Tinamus major	-83.5025	10.5386	1
458	Tinamus major	-83.503	10.5433	1
459	Tinamus major	-83.5519	10.5553	1
460	Tinamus major	-83.9436	10.5554	1
461	Tinamus major	-83.7383	10.5574	1
462	Tinamus major	-83.7383	10.5574	1
463	Tinamus major	-83.7383	10.5574	1
464	Tinamus major	-83.5945	10.5694	1
465	Tinamus major	-84.2238	10.6767	1
466	Tinamus major	-84.2238	10.6767	1
467	Tinamus major	-85.0117	10.6786	1
468	Tinamus major	-84.1811	10.6851	1
469	Tinamus major	-84.1811	10.6852	1
470	Tinamus major	-84.1811	10.6852	1
471	Tinamus major	-84.1811	10.6852	1
472	Tinamus major	-84.1811	10.6852	1
473	Tinamus major	-84.1811	10.6852	1
474	Tinamus major	-84.1811	10.6852	1
475	Tinamus major	-84.1811	10.6852	1
476	Tinamus major	-84.1811	10.6852	1
477	Tinamus major	-84.19	10.7011	1
478	Tinamus major	-85.0413	10.7025	1
479	Tinamus major	-84.1826	10.7086	1
480	Tinamus major	-85.0408	10.7136	1
481	Tinamus major	-85.0408	10.7136	1
482	Tinamus major	-85.0441	10.7139	1
483	Tinamus major	-84.1756	10.715	1
484	Tinamus major	-85.058	10.728	1
485	Tinamus major	-84.1833	10.7417	1
486	Tinamus major	-85.3434	10.7732	1
487	Tinamus major	-84.1517	10.779	1
488	Tinamus major	-84.1918	10.7859	1
489	Tinamus major	-85.363	10.7868	1
490	Tinamus major	-85.3466	10.8161	1
491	Tinamus major	-85.753	10.8478	1
492	Tinamus major	-85.3262	10.8663	1
493	Tinamus major	-84.7983	10.8787	1
494	Tinamus major	-84.7929	10.8914	1
495	Tinamus major	-85.4259	10.9816	1
496	Tinamus major	-85.4259	10.9816	1
497	Tinamus major	-85.4259	10.9816	1
498	Tinamus major	-85.4259	10.9816	1
499	Tinamus major	-85.4259	10.9816	1
500	Tinamus major	-85.4259	10.9816	1
501	Tinamus major	-85.4259	10.9816	1
502	Tinamus major	-85.4259	10.9816	1
503	Tinamus major	-85.4259	10.9816	1
504	Tinamus major	-85.4259	10.9894	1
505	Tinamus major	-85.4259	10.9894	1
506	Tinamus major	-83.2928	8.37742	1
507	Tinamus major	-83.2928	8.37742	1
508	Tinamus major	-83.2928	8.38543	1
509	Tinamus major	-83.3131	8.39222	1
510	Tinamus major	-83.2949	8.39596	1
511	Tinamus major	-83.2877	8.40105	1
512	Tinamus major	-83.3366	8.4037	1
513	Tinamus major	-83.3366	8.4037	1
